participant,group,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency
18510,BAC,16,5,26.666666666666668,22.5,2.76275,3.5844
18601,CBA,30,5,50,45.83333333333333,2.224,2.4899666666666667
18824,ACB,36,7,60,54.166666666666664,1.7075,1.8671111111111112
18826,ACB,21,1,35,34.166666666666664,3.1994,4.105333333333333
18876,CBA,27,5,45,40.833333333333336,2.2328,2.82027037037037
18887,BAC,24,5,40,35.833333333333336,2.3701,2.6721125
19029,BCA,28,2,46.666666666666664,45,2.2929500000000003,3.0463142857142858
19114,ABC,27,6,45,40,2.0476,2.617088888888889
19116,ABC,25,3,41.66666666666667,39.166666666666664,2.066,2.97072
19124,ACB,17,5,28.333333333333332,24.166666666666668,3.4191,3.7728882352941175
19125,BAC,24,1,40,39.166666666666664,2.8042499999999997,3.4396666666666667
19127,BAC,33,1,55.00000000000001,54.166666666666664,2.582,2.6526666666666667
19135,BCA,22,4,36.666666666666664,33.33333333333333,3.3766,3.560690909090909
19136,ABC,39,4,65,61.66666666666667,1.7426,1.9509076923076922
19137,BAC,19,3,31.666666666666664,29.166666666666668,3.432,3.780473684210526
19140,CAB,19,3,31.666666666666664,29.166666666666668,3.3549,3.3946894736842106
19146,CBA,15,5,25,20.833333333333336,1.8408,2.72644
19152,ACB,22,4,36.666666666666664,33.33333333333333,2.9089,3.113481818181818
19164,BAC,20,5,33.33333333333333,29.166666666666668,3.1276,3.314685
19178,BAC,30,4,50,46.666666666666664,2.5328,2.6188066666666665
19179,CAB,28,2,46.666666666666664,45,2.2975000000000003,2.9596785714285714
19180,BAC,16,8,26.666666666666668,20,2.5335,2.856
19188,CAB,26,3,43.333333333333336,40.833333333333336,2.5641499999999997,3.2121346153846155
19193,CAB,12,5,20,15.833333333333332,3.177,5.011416666666666
19196,ABC,20,1,33.33333333333333,32.5,3.035,4.3242
19199,CAB,22,3,36.666666666666664,34.166666666666664,2.65975,3.035659090909091
19205,CAB,17,4,28.333333333333332,25,3.3997,4.046141176470588
19206,BAC,29,3,48.333333333333336,45.83333333333333,2.6269,2.7949724137931033
19210,ABC,26,6,43.333333333333336,38.333333333333336,2.0684,2.681896153846154
19233,ACB,26,2,43.333333333333336,41.66666666666667,2.0576999999999996,3.129876923076923
19238,BCA,29,6,48.333333333333336,43.333333333333336,2.0999,2.471103448275862
19248,CAB,19,2,31.666666666666664,30,2.9055,3.8547473684210525
19250,BCA,15,4,25,21.666666666666668,3.3494,4.194266666666667
19263,ACB,24,5,40,35.833333333333336,2.1492500000000003,2.6612708333333335
19268,BCA,24,1,40,39.166666666666664,3.115,3.661458333333333
19269,ACB,25,5,41.66666666666667,37.5,2.5194,2.802272
19273,BAC,41,6,68.33333333333333,63.33333333333333,1.6477,1.8338146341463415
19281,CAB,17,2,28.333333333333332,26.666666666666668,2.865,4.2989411764705885
19294,CAB,25,3,41.66666666666667,39.166666666666664,2.406,3.11424
19298,CBA,26,1,43.333333333333336,42.5,2.42575,3.4572846153846153
19308,CBA,22,6,36.666666666666664,31.666666666666664,2.66655,2.945331818181818
19310,ACB,28,1,46.666666666666664,45.83333333333333,2.948,3.0735714285714284
19326,ABC,25,2,41.66666666666667,40,2.2184,3.1393400000000002
19355,BCA,23,5,38.333333333333336,34.166666666666664,2.9621,3.105517391304348
19363,ACB,15,4,25,21.666666666666668,3.3829,4.21942
19374,BAC,30,5,50,45.83333333333333,1.97145,2.3432
19377,ABC,28,1,46.666666666666664,45.83333333333333,2.2313,2.9506107142857143
19377,CBA,20,4,33.33333333333333,30,2.7409,3.727465
19391,ABC,20,5,33.33333333333333,29.166666666666668,2.3636,2.762745
19423,ABC,20,4,33.33333333333333,30,2.2322,3.3356700000000004
19424,CBA,24,5,40,35.833333333333336,2.40885,2.8135291666666666
19431,BCA,22,3,36.666666666666664,34.166666666666664,2.7117500000000003,3.639527272727273
19456,CBA,24,4,40,36.666666666666664,2.3897000000000004,2.8928291666666666
19461,CBA,20,2,33.33333333333333,31.666666666666664,3.4245,4.00955
19475,CAB,16,6,26.666666666666668,21.666666666666668,2.56455,3.54263125
19480,CAB,16,2,26.666666666666668,25,3.54805,4.3144
19489,ACB,20,3,33.33333333333333,30.833333333333336,2.582,3.5382
19492,ACB,20,2,33.33333333333333,31.666666666666664,3.1639999999999997,3.17386
19493,CBA,22,3,36.666666666666664,34.166666666666664,2.366,2.648909090909091
19503,BCA,30,3,50,47.5,2.1829,2.6403866666666667
19506,BCA,26,4,43.333333333333336,40,2.4202500000000002,2.64185
19521,BCA,16,7,26.666666666666668,20.833333333333336,2.71035,3.1067
19525,CAB,24,5,40,35.833333333333336,2.0826000000000002,2.532216666666667
19533,CBA,16,5,26.666666666666668,22.5,2.78315,3.9127
19542,ACB,22,3,36.666666666666664,34.166666666666664,2.4171,3.1707
19543,CAB,21,2,35,33.33333333333333,2.2655,3.8640857142857143
19550,BCA,31,6,51.66666666666667,46.666666666666664,1.9944,2.1571612903225805
19617,ABC,26,2,43.333333333333336,41.66666666666667,2.6494999999999997,3.2062307692307694
19631,CBA,26,5,43.333333333333336,39.166666666666664,1.98475,2.7557576923076925
19641,BAC,39,8,65,58.333333333333336,1.6989,1.7564102564102564
19694,CAB,25,3,41.66666666666667,39.166666666666664,2.466,2.95656
19726,CBA,22,2,36.666666666666664,35,3.36045,3.671286363636364
19757,ABC,33,1,55.00000000000001,54.166666666666664,2.364,2.696878787878788
19760,CBA,26,3,43.333333333333336,40.833333333333336,2.4582499999999996,3.227088461538462
19767,CBA,17,5,28.333333333333332,24.166666666666668,2.4961,3.1678
19769,BCA,25,5,41.66666666666667,37.5,2.2708,3.107456
19777,CAB,25,5,41.66666666666667,37.5,2.532,2.90576
19779,ACB,27,4,45,41.66666666666667,2.699,2.720925925925926
19790,ACB,23,2,38.333333333333336,36.666666666666664,2.8386,3.253082608695652
19800,CBA,22,4,36.666666666666664,33.33333333333333,2.82045,2.9445727272727273
19803,BAC,20,7,33.33333333333333,27.500000000000004,1.89505,2.819125
19808,BCA,26,3,43.333333333333336,40.833333333333336,2.40275,2.634369230769231
19814,ABC,23,4,38.333333333333336,35,2.148,2.9893478260869566
19815,CAB,27,3,45,42.5,2.1872,2.947225925925926
19817,ABC,30,5,50,45.83333333333333,2.39885,2.4858366666666667
19818,BCA,27,5,45,40.833333333333336,2.299,2.6906666666666665
19821,CAB,24,3,40,37.5,2.54195,3.3879083333333333
19826,CAB,21,2,35,33.33333333333333,2.9489,3.335895238095238
19829,BAC,23,5,38.333333333333336,34.166666666666664,2.2666,3.0409521739130434
19833,ACB,19,6,31.666666666666664,26.666666666666668,2.886,3.686536842105263
19835,CAB,29,8,48.333333333333336,41.66666666666667,1.9813,2.2042551724137933
19844,CBA,41,6,68.33333333333333,63.33333333333333,1.7494,1.8588878048780488
19854,CAB,35,3,58.333333333333336,55.833333333333336,2.2198,2.3472114285714287
19865,CAB,36,4,60,56.666666666666664,1.84095,2.1417027777777777
19873,BAC,13,2,21.666666666666668,20,3.013,3.921923076923077
19880,BCA,24,1,40,39.166666666666664,3.2628500000000003,3.6536916666666666
19882,ACB,15,4,25,21.666666666666668,2.8838,3.8057933333333334
19884,ABC,25,5,41.66666666666667,37.5,2.466,2.63396
19890,ACB,36,7,60,54.166666666666664,1.681,1.99075
19901,CBA,19,4,31.666666666666664,28.333333333333332,2.0974,3.4843789473684215
19905,ABC,21,3,35,32.5,3.5296,3.7983571428571428
19912,BAC,33,2,55.00000000000001,53.333333333333336,2.2664,2.59689696969697
19922,ACB,28,2,46.666666666666664,45,2.433,3.0225714285714287
19924,BAC,44,2,73.33333333333333,71.66666666666667,1.78335,1.9336477272727273
19928,BCA,28,5,46.666666666666664,42.5,2.391,2.7961785714285714
19938,CBA,15,4,25,21.666666666666668,2.1736,3.7810799999999998
19945,ABC,20,3,33.33333333333333,30.833333333333336,2.74105,3.94468
19946,ABC,32,2,53.333333333333336,51.66666666666667,2.21685,2.542234375
19951,BCA,32,3,53.333333333333336,50.83333333333333,2.16315,2.524421875
19961,BCA,35,3,58.333333333333336,55.833333333333336,1.9484,2.2960885714285713
19966,CAB,24,4,40,36.666666666666664,2.76505,3.27975
19975,BCA,24,4,40,36.666666666666664,2.5985,2.736666666666667
19984,ACB,15,2,25,23.333333333333332,2.615,5.1790666666666665
19990,BCA,23,2,38.333333333333336,36.666666666666664,2.415,3.303434782608696
19992,ACB,14,5,23.333333333333332,19.166666666666668,2.5068,2.7888285714285717
20012,CAB,34,3,56.666666666666664,54.166666666666664,2.1477500000000003,2.34425
20024,ABC,35,3,58.333333333333336,55.833333333333336,1.6819,2.1957771428571426
20041,CAB,20,2,33.33333333333333,31.666666666666664,2.3748,4.2072
20046,BCA,22,1,36.666666666666664,35.833333333333336,3.21185,3.7112499999999997
20055,CBA,29,3,48.333333333333336,45.83333333333333,2.3819,2.7316517241379312
20067,BCA,24,3,40,37.5,2.5046,3.3015
20073,ABC,20,4,33.33333333333333,30,2.5995,3.8874000000000004
20084,CBA,19,3,31.666666666666664,29.166666666666668,2.4117,3.2704473684210527
20231,ABC,22,2,36.666666666666664,35,2.5136500010000002,3.4931136364545456
