participant,group,n_typing,median_typing,mean_typing,acc_typing,error_rate_typing
10010,CAB,61,1.3334,1.3543245901639345,98.38709677419355,0.016129032258064526
10011,BCA,60,1.06585,1.1694733333333334,96.7741935483871,0.032258064516129045
10012,CAB,2,4.2074,4.2074,3.225806451612903,0.967741935483871
10013,BCA,58,1.5856,1.6543086206896551,93.54838709677419,0.0645161290322581
10014,CAB,54,1.7342,1.8862277777777778,87.09677419354838,0.1290322580645162
10015,ACB,59,5.1402,5.557138983050847,95.16129032258065,0.04838709677419357
10016,BAC,58,1.4666000000000001,1.5728741379310345,93.54838709677419,0.06451612903225812
10017,CBA,61,13.2311,18.362477049213116,98.38709677419355,0.016129032258064526
10018,BAC,58,1.07455,1.1237724137931036,93.54838709677419,0.0645161290322581
10019,ACB,61,1.3843,1.3881606557377049,98.38709677419355,0.016129032258064526
10020,BCA,3,10.6752,25.579166666666666,4.838709677419355,0.9516129032258065
10021,ABC,60,1.375,1.50415,96.7741935483871,0.03225806451612905
10022,BCA,58,1.5147,1.5442,93.54838709677419,0.06451612903225809
10023,CBA,54,1.4484499999999998,1.745748148148148,87.09677419354838,0.12903225806451618
10024,BAC,52,2.0812999999999997,2.3280576923076923,83.87096774193549,0.16129032258064518
10025,ABC,59,1.1327,1.2448694915254237,95.16129032258065,0.04838709677419356
10026,BCA,60,1.3072,1.308065,96.7741935483871,0.03225806451612905
10027,CAB,60,1.20105,1.2855733333333335,96.7741935483871,0.03225806451612905
10028,CAB,60,1.5332999995,1.6535333333166666,96.7741935483871,0.03225806451612905
10029,CBA,58,1.27225,1.2634620689655172,93.54838709677419,0.06451612903225812
10030,BAC,61,2.5438,2.7802262295081968,98.38709677419355,0.016129032258064526
10031,BAC,60,1.2828499999999998,1.3190033333333333,96.7741935483871,0.032258064516129045
10032,BCA,60,1.7328,1.7984066666666667,96.7741935483871,0.03225806451612905
119238710566,CAB,60,1.1325500000000002,1.170375,96.7741935483871,0.03225806451612905
134423588053,CBA,61,1.1714,1.2763295081967214,98.38709677419355,0.016129032258064526
176876591960,ABC,60,1.2221,1.3617966666666668,96.7741935483871,0.032258064516129045
181625310168,BCA,62,1.0156,1.0520806451612903,100,0
191352558881,BCA,61,1.0015,1.0713852459016393,98.38709677419355,0.016129032258064526
230068048695,CAB,62,1.17395,1.2318177419354839,100,0
231023528450,ACB,62,1.3397999999999999,1.480974193548387,100,0
277529272856,CAB,62,1.26275,1.3294532258064515,100,0
294874663208,CAB,59,1.1202,1.1662237288135593,95.16129032258065,0.04838709677419355
318020814820,ABC,62,1.18985,1.2035225806451613,100,0
392002593306,BCA,62,1.2637,1.2813209677419355,100,0
414654074748,CAB,62,1.6521,1.8531467741935483,100,0
458214205270,CAB,62,1.2304,1.2959016129032257,100,0
483748594322,ACB,62,1.46605,1.5391516129032259,100,0
484025127976,BAC,61,1.2531,1.3877639344262296,98.38709677419355,0.016129032258064526
501104472111,BCA,62,1.2822,1.352633870967742,100,0
517308643925,BCA,62,1.366,1.4071,100,0
560520040965,CAB,61,1.0051,1.0565016393442623,98.38709677419355,0.016129032258064526
582545690541,BAC,62,1.50785,1.5433870967741936,100,0
604128320491,ABC,61,1.3895,1.556947541081967,98.38709677419355,0.016129032258064526
651964771235,ACB,62,1.3852,1.4851096774193548,100,0
675296385237,ACB,62,1.2572,1.3041080645161292,100,0
678536750213,BCA,62,1.51675,1.5421661290322581,100,0
692323212348,CBA,61,1.3262,1.3600770491803278,98.38709677419355,0.016129032258064526
697608015709,BCA,62,1.65185,1.7692290322580646,100,0
730858445772,CBA,62,1.20275,1.3201403225806452,100,0
771719516720,BCA,62,1.14885,1.3616693548387095,100,0
798938289447,BCA,61,1.247,1.279349180327869,98.38709677419355,0.016129032258064526
822385097411,BAC,61,1.2659,1.4161344262295081,98.38709677419355,0.016129032258064526
8233,ABC,62,1.1957499999999999,1.3290225806451612,100,0
8242,CBA,62,1.3571,1.4043677419354839,100,0
8251,CBA,61,1.0498,1.0333540983606557,98.38709677419355,0.016129032258064526
838440669607,CBA,62,1.45785,1.497132258064516,100,0
848199286335,CAB,62,1.58995,1.6603096774193549,100,0
8485,BAC,62,1.4655,1.6280274193548387,100,0
8488,CBA,60,1.25675,1.36546,96.7741935483871,0.03225806451612905
8497,CBA,61,1.1833,1.2451377049180328,98.38709677419355,0.016129032258064526
8506,CBA,62,1.2182499999999998,1.3272951612903225,100,0
8509,BAC,58,1.4926,1.6316086206896552,93.54838709677419,0.0645161290322581
8515,ABC,62,1.1995,1.2598387096774193,100,0
8533,ABC,62,1.3486500000000001,1.4518564516129033,100,0
857677498017,CBA,61,1.1168,1.2290786885245901,98.38709677419355,0.016129032258064526
8596,ABC,61,2.0995,2.3600180327868854,98.38709677419355,0.016129032258064526
8644,BCA,60,1.482,1.6385733333333334,96.7741935483871,0.03225806451612905
8665,BAC,60,1.4590999999999998,1.51321,96.7741935483871,0.032258064516129045
8668,CAB,58,1.3138999999999998,1.3810327586206896,93.54838709677419,0.0645161290322581
8761,BAC,62,1.3325,1.4114516129032257,100,0
8767,CAB,61,1.084,1.1347049180327868,98.38709677419355,0.016129032258064526
8791,CAB,61,1.3492,1.5458131147540983,98.38709677419355,0.016129032258064526
8800,ACB,59,1.2486,1.3478762711525425,95.16129032258065,0.04838709677419356
8803,CBA,61,0.9817,1.0532475409836066,98.38709677419355,0.016129032258064526
8812,ABC,62,1.47415,3.2454274193548387,100,0
8815,ACB,61,1.1649,1.274888524590164,98.38709677419355,0.016129032258064526
8824,CBA,62,1.2321,1.3941274193548387,100,0
8827,ACB,61,1.5162,1.5708721311475409,98.38709677419355,0.016129032258064526
8833,BAC,61,1.2491,1.3065245901639344,98.38709677419355,0.016129032258064526
8842,CAB,61,1.316,1.3370491803278688,98.38709677419355,0.01612903225806453
8845,BCA,62,1.3368,1.392258064516129,100,0
8857,CAB,61,1.2361,1.2907295081967212,98.38709677419355,0.016129032258064526
8863,CAB,61,1.8659,1.9861639344262296,98.38709677419355,0.016129032258064526
8866,BCA,62,3.25715,4.409382258064516,100,0
8875,CBA,62,1.3846500000000002,1.465683870967742,100,0
8896,ACB,52,1.575,1.778496153846154,83.87096774193549,0.16129032258064524
8902,CAB,62,1.48295,2.187024193548387,100,0
8917,BCA,60,1.401,1.6328666666666667,96.7741935483871,0.03225806451612905
8926,CAB,57,1.6664,1.7119228070175438,91.93548387096774,0.08064516129032259
8929,CAB,61,1.7268,1.7538967213114753,98.38709677419355,0.01612903225806453
8932,CBA,62,1.4823499999999998,1.5655064516129031,100,0
8935,CAB,62,1.2662499999999999,1.361325806451613,100,0
8953,CBA,61,1.466,1.5121967213114753,98.38709677419355,0.016129032258064526
8971,CBA,62,1.3909,1.4386838709677419,100,0
8986,BAC,62,1.401,1.4756129032258065,100,0
916438355576,CBA,62,1.3468,1.433,100,0
933126141410,CAB,61,1.5033,1.7000377049180329,98.38709677419355,0.016129032258064526
939257332379,CAB,61,1.8,1.969,98.38709677419355,0.016129032258064526
957558488938,CAB,59,1.2664,1.3429254237288135,95.16129032258065,0.04838709677419358
